UNIDADE,FONTE,CONDIÇÃO IDENTIFICADA,AÇÃO INDICADA,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
CUBO ABM,ARQUITETURA,Substituir mesas do refeitório,TR 57489,COMPRAS,Resolvido,"R$ 17.440,00",SIM,SIM,
CUBO ABM,ARQUITETURA,Comprar e Instalar bicicletário  - TÉRREO,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Melhoria acústica do auditório -3° PAVTO,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Colocar plantas da entrada em vasos - TÉRREO,Ticket # 58004,COMPRAS,Resolvido,"R$ 1.394,60",SIM,SIM,
CUBO ABM,ARQUITETURA,Jatear porta acesso  -4° PAVTO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Novo mobiliário para secretaria - TÉRREO,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Compra de capachos - GERAL,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Lixeiras pátio - TÉRREO,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Pintura escada,,,Resolvido,,,,
CUBO BOTAFOGO,ARQUITETURA,Falta de sistema de exaustão da cozinha - implementação da coifa,,,Pendente,,,,
CUBO BOTAFOGO,ARQUITETURA,Falta de cerâmicas nas paredes da cozinha - instalação de revestimento,,,Pendente,,,,
CUBO BOTAFOGO,ARQUITETURA,Catraca PNE modelo diferente do projeto - necessidade de gradil ao lado da catraca,,,Pendente,,,,
CUBO BOTAFOGO,ARQUITETURA,Térreo - Porta de vidro corredor elevadores batendo - instalação de mola,,,Pendente,,,,
CUBO BOTAFOGO,ARQUITETURA,1° pavto - Fechamento esteticamente ruim das condensadoras no pátio - instalação de paisagismo,,,Pendente,,,,
CUBO BOTAFOGO,ARQUITETURA,Térreo - Colocação de pallets de madeira emborrachada na arquibancada,,,Pendente,,,,
CUBO/GLOBAL TREE GOLF,UNIDADE,"250 Chaveiro plástico formato tijolo, amanho aproximado: 2,7 cm x 3,3 cm, com a logo da marca na cor branca",106287,COMPRAS,Resolvido,"R$ 725,00",SIM,SIM,
GLOBAL TREE BOTAFOGO + CUBO,ARQUITETURA,SERVIÇO DE COMUNICAÇÃO VISUAL DE FACHADA,107261,COMPRAS,Resolvido,"R$ 74.000,00",SIM,SIM,
GLOBAL TREE BOTAFOGO + CUBO,UNIDADE,confecção de placas de identificação de sala,107239,COMPRAS,Resolvido,"R$ 510,00",SIM,SIM,
GLOBAL TREE ABM,MANUTENÇÃO,AINDA EM GARANTIAS DE OBRA,AGUARDANDO O QUE A SPINS VAI FAZER AINDA,ARQUITETURA,Pendente,,,,
GLOBAL TREE ABM,UNIDADE,CONSERTAR VAZAMENTO DE AGUA DO PARQUE AQUÁTICO,CONTRATAÇÃO DE CONSTRUTORA PARA CORRIGIR,ARQUITETURA,Resolvido,,,,
GLOBAL TREE ABM,UNIDADE,COLOCAR SPORTIT NO PARQUE AQUATICO,COMPRA DO SPORTIT,ARQUITETURA,Pendente,,,,
GLOBAL TREE ABM,UNIDADE,nobreak,TR 49403,COMPRAS,Resolvido,"R$ 2.292,71",SIM,SIM,
GLOBAL TREE ABM,ARQUITETURA,locker para funcionários,TR 43978,COMPRAS,Resolvido,"R$ 1.920,00",SIM,SIM,
GLOBAL TREE ABM,ARQUITETURA,estante de aço reforçada para almoxarifafo,TR 50803,COMPRAS,Resolvido,"R$ 495,00",SIM,SIM,
GLOBAL TREE ABM,ARQUITETURA,richaurd alimentação,TR 62573,COMPRAS,Resolvido,"R$ 37.360,00",SIM,SIM,
GLOBAL TREE ABM,ARQUITETURA,Material para manutenção de muro,83312,COMPRAS,Resolvido,"R$ 3.097,77",SIM,SIM,
GLOBAL TREE RIO 2,MANUTENÇÃO,TROCAR GRAMA DOS PARQUINHOS,PROJETO,ARQUITETURA,Pendente,,,,
GLOBAL TREE RIO 2,UNIDADE,SOLICTAÇÃO DE EXPANSÃO COZINHA E COPA FUNC.,PROJETO,ARQUITETURA,Pendente,,,,
GLOBAL TREE RIO 2,UNIDADE,TANQUE DE AREIA,,,,,,,
GLOBAL TREE RIO 2,UNIDADE,PROJETO RECEPÇÃO,,,,,,,
GLOBAL TREE RIO 2,UNIDADE,notebook,TR 42961,COMPRAS,Resolvido,"R$ 3.344,99",SIM,SIM,
GLOBAL TREE RIO 2,UNIDADE,resfriador,TR 44600,COMPRAS,Resolvido,"R$ 1.657,99",SIM,SIM,
GLOBAL TREE RIO 2,UNIDADE,estante de aço reforçada oara almoxarifafo,TR 47002,COMPRAS,Resolvido,"R$ 2.328,00",SIM,SIM,
GLOBAL TREE RIO 2,UNIDADE,4 Armário Roupeiro de Aço 8 Portas Vestiário Guarda-Volumes com trinco para cadeados para pertences dos funcionários,81046,COMPRAS,Em Andamento,"R$ 3.400,00",SIM,SIM,
INTEGRA,MANUTENÇÃO,PLATIBANDA,,,Pendente,,,,
INTEGRA,UNIDADE,COBERTURA DA ENTRADA DE ALUNOS,PROJETO,,Pendente,,,,
INTEGRA,UNIDADE,ÁREA DE CONVIVENCIA EXTERNA,PROJETO,,Pendente,,,,
LEO ALFA,UNIDADE,Reforma geral dos sanitários - prédio A,"REFORMA GERAL NOS 6 BANHEIROS, COM A TROCA DE REVESTIMENTOS, SUBSTITUIÇÃO DE BANCADA E ESPELHO QUEBRADOS E PORTAS VENEZIANAS",ARQUITETURA,-,,,,
LEO ALFA,UNIDADE,Reforma geral dos sanitários - prédio B,"REFORMA GERAL NOS 6 BANHEIROS, COM A TROCA DE REVESTIMENTOS, SUBSTITUIÇÃO DE BANCADA E ESPELHO QUEBRADOS E PORTAS VENEZIANAS",ARQUITETURA,,,,,
LEO ALFA,UNIDADE,Corrimão escadas - prédio A,INSTALAÇÃO DE CORRIMÃO SEGUINDO A NBR 9050,ARQUITETURA,,,,,
LEO ALFA,UNIDADE,Corrimão escadas - prédio B,INSTALAÇÃO DE CORRIMÃO SEGUINDO A NBR 9050,ARQUITETURA,,,,,
LEO ALFA,UNIDADE,Laboratório de ciencias,"MOBILIÁRIO, ELÉTRICA, BANCADA MOLHADA E ARMÁRIOS DE ALVENARIA",ARQUITETURA,,,,,
LEO ALFA,UNIDADE,Instalação de portas corredor,INSTALAÇÃO DE PORTAS NOVAS,ARQUITETURA,,,,,
LEO ALFA,MANUTENÇÃO,Troca de 4 grelhas de ferro 1/2 com cantoneiras,TROCA DE GRELHAS,MANUTENÇÃO,Resolvido,,,,
LEO ALFA,MANUTENÇÃO,Demolição de laterais de concreto das calhas; refazer piso e parede em concreto novos para fixação das 3 grelhas,ADEQUAÇÕES CIVIS PARA CALHAS,MANUTENÇÃO,Resolvido,,,,
LEO ALFA,MANUTENÇÃO,Fabricação e instalação de portão de metalon com fechadura e um porta cadeado com fechamento em cima e na lateral,NOVO PORTÃO E PORTA CADEADO,MANUTENÇÃO,Resolvido,,,,
LEO ALFA,MANUTENÇÃO,Manutenção e adequação em grelhas,REVISÃO DE GRELHAS,MANUTENÇÃO,Resolvido,,,,
LEO ALFA,CMEF,Comunicação Visual - Fase 02,Comunicação Visual - Fase 02,CMEF,,,,,
LEO ALFA,UNIDADE,Ampliação do escopo de cobertura,CONTRATAÇÃO DA EXECUÇÃO,ARQUITETURA,Resolvido,,,,
LEO ALFA,UNIDADE,Sala Maker,"MOBILIÁRIO, ELÉTRICA, BANCADA MOLHADA E ARMÁRIOS DE ALVENARIA",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Nova fachada,NOVA FACHADA SEGUINDO O PADRÃO DA MARCA,ARQUITETURA,-,,,,
LEO BETA,UNIDADE,Brinquedoteca,"MOBILIÁRIO, ADESIVAÇÃO E PORTA DE VIDRO",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Salas de aula Infantil,"ADESIVAÇÃO, VISORES DE VIDRO E PORTAS DE VIDRO",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Banheiros infantil,"REFORMA GERAL DOS BANHEIRO INFANTIS, INCLUINDO NOVAS DIVISÓRIAS, PORTAS DE VENEZIANA E REVESTIMENTOS",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Espaço maker,"MOBILIÁRIO, ELÉTRICA E BANCADA MOLHADA",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Pátio infantil,"NIVELAMENTO DO PISO, PISO SPORTIT, FECHAMENTO MURO, FECHAMENTO PORTÃO, ISOLAMENTO GRADIL, PINTURA, BRINQUEDOS",ARQUITETURA,,,,,
LEO BETA,UNIDADE,Cozinha/Refeitório infantil,"
AMPLIAÇÃO DO ESPAÇO, MOBILIÁRIO, ELÉTRICA, BANCADA DE GRANITO CINZA CORUMBÁ E ACABAMENTOS",ARQUITETURA,-,,,,
LEO BETA,MANUTENÇÃO,"Serviço de correções de duas paredes, remoção de imperfeições, emassamento, lixamento e pintura",CONTRATAÇÃO DA COPIASUL FEITA PELA THAÍS,MANUTENÇÃO,Resolvido,,,,
LEO BETA,MANUTENÇÃO,"1 - Quebra do piso e recomposição do mesmo.
2 - Colocação de tubulação de esgoto nova embutida no piso.
3 - Substituição das 2 caixas de gordura e Colocação de uma caixa de passagem no nível do piso novo na área do depósito.
4 - Construção 12m2 de contrapiso na área do depósito.
5 - Colocação de 12 m2 piso cerâmico na área do depósito.
6 - Colocação de 12 m2forro de pvc na área do depósito.
7 - Revestimento da parede interna em placas de gesso(40m2)
8 - Pintura da parede  em placas com tinta acrilica   da marca  Suvinil.
9 - Fiação e tubulação para iluminação do depósito.
10 - Instalação de  3 luminárias tubo led  de sobrepor e interruptor.",CONTRATAÇÃO SERÁ FEITA PELA THAÍS,MANUTENÇÃO,Em Andamento,,,,
LEO GAMA,MANUTENÇÃO,Pedido de lona,106428,COMPRAS,Resolvido,"R$ 1.780,00",SIM,SIM,
LEO GAMA,UNIDADE,Terreno anexo,"QUADRA DE BEACH TENNIS, MURO NOVO COMPATIVEL COM O COLÉGIO, CANTEIROS E PAISAGISMO, MOBILIÁRIO E PISO INTERTRAVADO",ARQUITETURA,-,,,,
LEO GAMA,UNIDADE,Sala de atendimento,"FECHAMENTO FRONTAL DE VIDRO, MOBILIÁRIO, ADESIVAÇÃO E ACABAMENTOS",ARQUITETURA,,,,,
MATRIZ RETIRO,MANUTENÇÃO,"SUBDIMENSIONAMENTO DA ELÉTRICA DA COZINHA/CANTINA (QUANDO LIGAM MAIS EQUIPAMENTOS, DESARMA)",PROJETO/OBRA DE ELÉTRICA PARA AJUSTAR CIRCUITOS,,Pendente,,,,
MATRIZ BANGU,MANUTENÇÃO,PROBLEMA CRÔNICO DE INFILTRAÇÃO NA QUADRA,AJUSTE,MANUTENÇÃO,Em Andamento,,,,
MATRIZ BANGU,MANUTENÇÃO,PROBLEMA CRÔNICO PORTÃO,AJUSTE,MANUTENÇÃO,Em Andamento,,,,
MATRIZ BANGU,MANUTENÇÃO,TELHADO AFETADO POR CONTA DAS PLACAS SOLARES;,RESOLUÇÃO COM O FORNECEDOR,CONTRATOS,Em Andamento,,,,
MATRIZ CAMPO GRANDE,MANUTENÇÃO,NECESSIDADE DE COBERTURA DO PARQUINHO,JARDINAGEM COM A MANUTENÇÃO,MANUTENÇÃO,Pendente,,,,
MATRIZ CAMPO GRANDE,MANUTENÇÃO,IMPLEMENTAÇÃO DE COMBATE A INCÊNDIO,APROVAÇÃO,ARQUITETURA,Em Andamento,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Portão obstruído e fechado indevidamente.,Demolição do muro e abertura do portão conforme exigência do Corpo de Bombeiros.,,Pendente,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Descargas sem funcionamento e tampa que não abre 100%.,Revisar funcionamento hidráulico e ajustes de tampa.,,Pendente,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Porta em desacordo com a NBR 9050,Porta vai e vem para cadeirantes,,Pendente,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Piso sem caimento para o ralo,Realizar nivelamento,,Pendente,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Arquibancada com fissuras.,Finalizar o acabamento das arquibancadas.,,Pendente,,,,
MATRIZ CAMPO GRANDE,VISTORIA ELLIPSES,Muitos vazamentos nas áreas da quadra poliesportiva e na quadra de areia.,Realizar o reparo dos vazamentos apresentados no telhado.,,Pendente,,,,
MATRIZ CAXIAS,MANUTENÇÃO,PROBLEMA GERAL DA FACHADA - DESCOLAMENTO DE PORCELANATOS,REFORMA DA FACHADA,,Pendente,,,,
MATRIZ MADUREIRA,MANUTENÇÃO,PLATIBANDA,VERIFICAR SE A UNIDADE INTERESSA EM AUMENTAR,,Pendente,,,,
MATRIZ MADUREIRA,VISTORIA ELLIPSES,Falta de caimento adequado e ralo fora de norma.,"Instalar caixa maior, ajustar caimento e conectar à rede pública.",,Pendente,,,,
MATRIZ NOVA IGUAÇU,MANUTENÇÃO,PROBLEMA NA COBERTURA DA QUADRA,PROJETO/OBRA GERAL DE REFORMA NOS TELHADOS,,Pendente,,,,
MATRIZ NOVA IGUAÇU,MANUTENÇÃO,REFORMA NAS DIVISÓRIAS DOS BANHEIROS,OBRA DE REFORMA DE BANHEIROS NO PADRÃO,,Pendente,,,,
MATRIZ ROCHA MIRANDA,MANUTENÇÃO,NECESSIDADE DE REFORMA DE BANHEIROS (COMPLETO COM TODA PARTE DE TUBULAÇÕES E BARBARÁS);,REFORMA GERAL DOS BANHEIROS,,Pendente,,,,
MATRIZ ROCHA MIRANDA,MANUTENÇÃO,APARELHOS DE AR CONDICIONADO,RETROFIT,,Pendente,,,,
MATRIZ SÃO JOÃO DE MERITI,MANUTENÇÃO,PROBLEMA NA ELÉTRICA GERAL,REFORMA,,Pendente,,,,
MATRIZ TAQUARA,MANUTENÇÃO,TELHADO/CALHAS AFETADAS PELAS PLACAS SOLARES,RESOLUÇÃO COM O FORNECEDOR,CONTRATOS,Em Andamento,,,,
MATRIZ TIJUCA,MANUTENÇÃO,solicito nova instalação de tela de proteção contra bichos no telhado da quadra da unidade,106799,COMPRAS,Resolvido,"R$ 3.000,00",SIM,SIM,
MATRIZ TIJUCA,VISTORIA ELLIPSES,Descolamento de adesivos em algumas paredes.,Reforço na aplicação de adesivos.,,Pendente,,,,
MATRIZ TIJUCA,VISTORIA ELLIPSES,Faltam acabamentos em áreas próximas aos rodapés.,Finalizar acabamento de pintura e adesivo no rodapé.,,Pendente,,,,
QI BOTAFOGO,MANUTENÇÃO,PROBLEMAS NA COBERTURA/TOLDO EXTERNO,,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI BOTAFOGO,MANUTENÇÃO,PISO - PROBLEMA CRÔNICO DE CUPIM,,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI BOTAFOGO,MANUTENÇÃO,ÁGUA DA CHUVA QUE INUNDA SALAS DE FUNDO,,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI BOTAFOGO,VISTORIA ELLIPSES,Buracos no alambrado da quadra infantil.,Fechamento e reforço do alambrado.,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI BOTAFOGO,VISTORIA ELLIPSES,Parafusos expostos e soltos na estrutura do alambrado.,Proteger e fixar os parafusos.,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI BOTAFOGO,VISTORIA ELLIPSES,Grade do portão dos fundos está solta.,Fixar corretamente a grade para garantir segurança.,,Cancelado,,NÃO,NÃO,IMOVEL SERÁ DEVOLVIDO
QI FREGUESIA,MANUTENÇÃO,PISO DO 2 ANDAR FORA DO PADRÃO,NECESSÁRIO INSTALAR PISO VINÍLICO,,Pendente,,,,
QI FREGUESIA,MANUTENÇÃO,ÁREA DESCOBERTA NA ÁREA DA FRENTE DA CANTINA,COLOCAR COBERTURA,,Pendente,,,,
QI METROPOLITANO,MANUTENÇÃO,INFILTRAÇÕES GERAL,RESOLUÇÃO,,Pendente,,,,
QI METROPOLITANO,MANUTENÇÃO,CAIXA DE GORDURA E ESGOTO IRREGULARES,FAZER A LIGAÇÃO,,Resolvido,,,,
QI METROPOLITANO,MANUTENÇÃO,NECESSIDADE REFORMA GERAL NOS BANHEIROS (BARBARÁ),REFORMA GERAL DOS BANHEIROS,,Pendente,,,,
QI METROPOLITANO,MANUTENÇÃO,"Disjuntor tripolar 125A.	1
Disjuntor tripolar 100A.	1
Disjuntor bipolar de 20A.	12
Disjuntor bipolar de 25A.	10
Disjuntor bipolar 32A.	4
Disjuntor bipolar 40A.	4
Disjuntor unipolar de 20A.	40
Disjuntor unipolar de 25A.	10
Disjuntor unipolar de 32A.	10
Disjuntor unipolar de 40A.	6
Disjuntor unipolar de 50A.	4
Terminal ilhós 2,5mm.	100
Terminal ilhós 6mm.	100
Terminal ilhós duplo.	20
Terminal Genérico.	20
fio 10mm.	5 metros
fio 16mm.	5 metros
Fita isolante 3M	2
trilho para disjuntor Din.	4 metros
barramento pente trifásico.	1
barramento pente bifásico.	1
barramento pente monofásico	1",106067,COMPRAS,Resolvido,"R$ 1.710,56",SIM,SIM,
QI METROPOLITANO,MANUTENÇÃO,LAJE COM VAZAMENTO CRÔNICO DO PÁTIO,,,Pendente,,,,
QI METROPOLITANO,MANUTENÇÃO,APARELHOS DE AR CONDICIONADOS,RETROFIT,,Pendente,,,,
QI METROPOLITANO,ARQUITETURA,MODERNIZAÇÃO DAS JANELAS,,,Pendente,,,,
QI METROPOLITANO,ARQUITETURA,REFORMA GERAL DOS BANHEIROS,,,Pendente,,,,
QI METROPOLITANO,ARQUITETURA,IMPLANTAÇÃO DE SISTEMA DE EXAUSTÃO DA CANTINA (EXIGÊNCIA CBMERJ),,,,,,,
QI METROPOLITANO,VISTORIA ELLIPSES,O ar- condicionado não estava com suas instalações concluídas,Finalizar instalação e revisar parte elétrica.,ARQUITETURA,Resolvido,,,,
QI RECREIO,MANUTENÇÃO,NECESSIDADE DA TROCA DO MONOLÍTICO NO PÁTIO,PROJETO E SUGESTÃO DO MATERIAL,,Pendente,,,,
QI RECREIO,VISTORIA ELLIPSES,"Catraca PCD inacabada, sem portão manual.",Finalizar instalação e garantir funcionamento completo.,CONTRATOS,Em Andamento,,,,
QI RECREIO,VISTORIA ELLIPSES,Luminárias soltas.,"Corrigir fiação, reforçar fixação das luminárias.",MANUTENÇÃO,Pendente,,,,
QI VALQUEIRE,UNIDADE,Banner,106543,COMPRAS,Resolvido,"R$ 585,00",SIM,SIM,
SÁ PEREIRA MATRIZ,MANUTENÇÃO,"Tratamento e impermeabilização de piso 6,80 de largura 17,20 de comprimento. Totalizando 117 metros",99337,COMPRAS,Resolvido,"R$ 29.900,00",SIM,SIM,
